mediaID,type,name,description,subject,category,collection,mode,section,year,round,matchNumber,filename,url,thumbUrl,sha256,width,height,sizeKB,knowledge,competition_matchNumber,competition_round,competition_section,competition_year,durationSeconds,github_baseRemotePath,github_fullRelativePath,github_fullUrl,github_localRelativePath,github_localThumbnailRelativePath,github_relativePath,github_thumbnailRelativePath,github_thumbnailUrl,github_url,id,media_type,originalName,source_app,source_capturedAt,source_sourceID,source_sourceJson,source_videoTimestamp
sport-footballers-bukayo-saka,image,Bukayo Saka,English Footballer for Arsenal,Sports,Football-World-Current-Player,Footballers,training,,,,,bukayo-saka.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/bukayo-saka.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/bukayo-saka.webp,74dfe04ff08b89624c853d0b13c8fea9e520e66f6bfd966a2bca5f979d227e24,300,390,15.59,-1,,,,,,library/images/sport/footballers,library/images/sport/footballers/full/bukayo-saka.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/bukayo-saka.webp,../github-ready/library/images/sport/footballers/full/bukayo-saka.webp,../github-ready/library/images/sport/footballers/thumbs/bukayo-saka.webp,library/images/sport/footballers/full/bukayo-saka.webp,library/images/sport/footballers/thumbs/bukayo-saka.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/bukayo-saka.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/bukayo-saka.webp,img-1782936337059-y35wn3a,image,bukayo-saka.jpg,scq-capture-studio,2026-07-01T20:05:37.059Z,img-1782936337059-y35wn3a,001-football-pack.zip,18:23
sport-footballers-cristiano-ronaldo,image,Cristiano Ronaldo,Portuguese National Footballer for Al-Nassr,Sports,Football-World-Current-Player,Footballers,training,,,,,cristiano-ronaldo.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/cristiano-ronaldo.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/cristiano-ronaldo.webp,33628998645fffd921667da826ce742a3912171879d678625c279243e7a1b56d,904,1109,90.08,-1,,,,,,library/images/sport/footballers,library/images/sport/footballers/full/cristiano-ronaldo.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/cristiano-ronaldo.webp,../github-ready/library/images/sport/footballers/full/cristiano-ronaldo.webp,../github-ready/library/images/sport/footballers/thumbs/cristiano-ronaldo.webp,library/images/sport/footballers/full/cristiano-ronaldo.webp,library/images/sport/footballers/thumbs/cristiano-ronaldo.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/cristiano-ronaldo.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/cristiano-ronaldo.webp,img-1782933694557-eprwr7h,image,cristiano-ronaldo.jpg,scq-capture-studio,2026-07-01T19:21:34.557Z,img-1782933694557-eprwr7h,001-football-pack.zip,18:23
sport-footballers-declan-rice,image,Declan Rice,English Footballer for Arsenal,Sports,Football-World-Current-Player,Footballers,training,,,,,declan-rice.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/declan-rice.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/declan-rice.webp,232ab308c35e5633732b8d74d95ab7721aadec2fb5a9df18ad17cce408b3f1e0,413,415,15.38,-1,,,,,,library/images/sport/footballers,library/images/sport/footballers/full/declan-rice.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/declan-rice.webp,../github-ready/library/images/sport/footballers/full/declan-rice.webp,../github-ready/library/images/sport/footballers/thumbs/declan-rice.webp,library/images/sport/footballers/full/declan-rice.webp,library/images/sport/footballers/thumbs/declan-rice.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/declan-rice.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/declan-rice.webp,img-1782936556589-gpfga8x,image,declan-rice.jpg,scq-capture-studio,2026-07-01T20:09:16.589Z,img-1782936556589-gpfga8x,001-football-pack.zip,18:23
sport-footballers-erling-haaland,image,Erling Haaland,Norwegian Footballer for Manchester City,Sports,Football-World-Current-Player,Footballers,training,,,,,erling-haaland.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/erling-haaland.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/erling-haaland.webp,87785ad4f948ff2d24db68e03857de74a14144c0e17220bc2a24baa09ff89dcd,1200,1800,203.82,-1,,,,,,library/images/sport/footballers,library/images/sport/footballers/full/erling-haaland.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/erling-haaland.webp,../github-ready/library/images/sport/footballers/full/erling-haaland.webp,../github-ready/library/images/sport/footballers/thumbs/erling-haaland.webp,library/images/sport/footballers/full/erling-haaland.webp,library/images/sport/footballers/thumbs/erling-haaland.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/erling-haaland.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/erling-haaland.webp,img-1782936116176-6w72i28,image,erling-haaland.jpg,scq-capture-studio,2026-07-01T20:01:56.176Z,img-1782936116176-6w72i28,001-football-pack.zip,18:23
sport-footballers-gabriel-jesus,image,Gabriel Jesus,Brazilian Footballer for Arsenal,Sports,Football-World-Current-Player,Footballers,training,,,,,gabriel-jesus.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/gabriel-jesus.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/gabriel-jesus.webp,0ec1272be7fd07775541dbe0467e973a2e448d24dc26a94f9b35adf9d651df50,300,390,16.52,-1,,,,,,library/images/sport/footballers,library/images/sport/footballers/full/gabriel-jesus.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/gabriel-jesus.webp,../github-ready/library/images/sport/footballers/full/gabriel-jesus.webp,../github-ready/library/images/sport/footballers/thumbs/gabriel-jesus.webp,library/images/sport/footballers/full/gabriel-jesus.webp,library/images/sport/footballers/thumbs/gabriel-jesus.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/gabriel-jesus.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/gabriel-jesus.webp,img-1782958381430-053hus2,image,gabriel-jesus.jpg,scq-capture-studio,2026-07-02T02:13:01.430Z,img-1782958381430-053hus2,002-football-pack.zip,
sport-footballers-gabriel-magalhaes,image,Gabriel Magalhães,Brazilian Footballer for Arsenal,Sports,Football-World-Current-Player,Footballers,training,,,,,gabriel-magalhaes.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/gabriel-magalhaes.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/gabriel-magalhaes.webp,3262189d8b91cfc12713c771d3ae0962bc1d1be852a4f6abe71ab8ac73b4eae2,1200,1800,203.52,-1,,,,,,library/images/sport/footballers,library/images/sport/footballers/full/gabriel-magalhaes.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/gabriel-magalhaes.webp,../github-ready/library/images/sport/footballers/full/gabriel-magalhaes.webp,../github-ready/library/images/sport/footballers/thumbs/gabriel-magalhaes.webp,library/images/sport/footballers/full/gabriel-magalhaes.webp,library/images/sport/footballers/thumbs/gabriel-magalhaes.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/gabriel-magalhaes.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/gabriel-magalhaes.webp,img-1782958304974-zcpu77q,image,gabriel-magalhaes.jpg,scq-capture-studio,2026-07-02T02:11:44.974Z,img-1782958304974-zcpu77q,002-football-pack.zip,
sport-footballers-gabriel-martinelli,image,Gabriel Martinelli,Brazilian Footballer for Arsenal,Sports,Football-World-Current-Player,Footballers,training,,,,,gabriel-martinelli.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/gabriel-martinelli.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/gabriel-martinelli.webp,79b2eb9a74beb1319f07ee33362edffe85f0c15932d444438f24f0162d5eb610,480,640,22.69,-1,,,,,,library/images/sport/footballers,library/images/sport/footballers/full/gabriel-martinelli.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/gabriel-martinelli.webp,../github-ready/library/images/sport/footballers/full/gabriel-martinelli.webp,../github-ready/library/images/sport/footballers/thumbs/gabriel-martinelli.webp,library/images/sport/footballers/full/gabriel-martinelli.webp,library/images/sport/footballers/thumbs/gabriel-martinelli.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/gabriel-martinelli.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/gabriel-martinelli.webp,img-1782958478204-dp78nk1,image,gabriel-martinelli.jpg,scq-capture-studio,2026-07-02T02:14:38.204Z,img-1782958478204-dp78nk1,002-football-pack.zip,
sport-footballers-joan-garcia,image,Joan Garcia,Spanish Footballer for Barcelona,Sports,Football-World-Current-Player,Footballers,training,,,,,joan-garcia.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/joan-garcia.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/joan-garcia.webp,19361d88866403bc46737444b80fde6dc6c51637e64007ab5f1dfbf31fa5eb6c,300,300,4.26,-1,,,,,,library/images/sport/footballers,library/images/sport/footballers/full/joan-garcia.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/joan-garcia.webp,../github-ready/library/images/sport/footballers/full/joan-garcia.webp,../github-ready/library/images/sport/footballers/thumbs/joan-garcia.webp,library/images/sport/footballers/full/joan-garcia.webp,library/images/sport/footballers/thumbs/joan-garcia.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/joan-garcia.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/joan-garcia.webp,img-1782959271236-k60datj,image,joan-garcia.jpg,scq-capture-studio,2026-07-02T02:27:51.236Z,img-1782959271236-k60datj,002-football-pack.zip,
sport-footballers-jude-bellingham,image,Jude Bellingham,English Footballer for Real Madrid,Sports,Football-World-Current-Player,Footballers,training,,,,,jude-bellingham.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/jude-bellingham.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/jude-bellingham.webp,bf90f5c6f5aaf9ab13a8135f81f3f76030ed08f3a9c9dc843405adec08400c35,416,416,14.74,-1,,,,,,library/images/sport/footballers,library/images/sport/footballers/full/jude-bellingham.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/jude-bellingham.webp,../github-ready/library/images/sport/footballers/full/jude-bellingham.webp,../github-ready/library/images/sport/footballers/thumbs/jude-bellingham.webp,library/images/sport/footballers/full/jude-bellingham.webp,library/images/sport/footballers/thumbs/jude-bellingham.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/jude-bellingham.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/jude-bellingham.webp,img-1782958945286-5f9f101,image,jude-bellingham.jpg,scq-capture-studio,2026-07-02T02:22:25.286Z,img-1782958945286-5f9f101,002-football-pack.zip,
sport-footballers-kai-havertz,image,Kai Havertz,German Footballer for Arsenal,Sports,Football-World-Current-Player,Footballers,training,,,,,kai-havertz.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/kai-havertz.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/kai-havertz.webp,35b9addf4ae3ab9e63a196d9d11982288a59d5e9c2b0deafe7c1c13f10f6de05,1045,588,35.39,-1,,,,,,library/images/sport/footballers,library/images/sport/footballers/full/kai-havertz.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/kai-havertz.webp,../github-ready/library/images/sport/footballers/full/kai-havertz.webp,../github-ready/library/images/sport/footballers/thumbs/kai-havertz.webp,library/images/sport/footballers/full/kai-havertz.webp,library/images/sport/footballers/thumbs/kai-havertz.webp,https://media.learnwithcole.com/library/images/sport/footballers/thumbs/kai-havertz.webp,https://media.learnwithcole.com/library/images/sport/footballers/full/kai-havertz.webp,img-1782936459885-3y3xks2,image,kai-havertz.jpg,scq-capture-studio,2026-07-01T20:07:39.885Z,img-1782936459885-3y3xks2,001-football-pack.zip,18:23
